,Title,Author
0,Playing to Win ,A.G. Lafley 
1,The Upside ,Adrian J. Slywotzky 
2,Profit Patterns,Adrian J. Slywotzky 
3,How to grow when Market's Don't,Adrian Slywotzky & Richard Wise
4,The Origin of Brands ,Al & Laura Reis 
5,The 22 Immutable Laws of Branding ,Al Reis and Laura Reis 
6,Focus (The Future of Your Company Depends on it),Al Ries
7,Grit the Power of Passion and Perservance ,Angela Duckworth 
8,BRAND is a four letter word: Positioning and the Real Art of Marketing ,Austin McGhie 
9,The Paradox of Choice ,Barry Schwartz 
10,Business War Games ,Benjamin Gilad 
11,The Chaos Scenario ,Bob Garfield 
12,Trillion Dollar Moms ,Bonnie Ulman 
13,Mindless Eating: Why We Eat More Than We Think ,Brian Wansink 
14,Why She Buys ,Bridget Brennan 
15,Understanding Michael Porter ,by Joan Magretta 
16,How Brands Grow Parts 1 & 2 ,Byron Sharp 
17,Power of Habit ,Charles Duhigg 
18,Winning with the P&G 99 (99 Principles & Practices of Procter & Gamble Success),Charles L. Decker
19,Made to Stick: Why Some Ideas Survive and Others Die ,Chip Heath and Dan Heath 
20,The Invisible Gorilla: How Our Intuitions Deceive Us ,Christopher Chabris and Daniel Simons 
21,Predictably Irrational ,Dan Ariely 
22,Emotionomics ,Dan Hill 
23,Primal Leadership,Daniel Goleman
24,Thinking Fast and Slow ,Daniel Kahnemen 
25,Do the KIND Thing ,Daniel Lubetzky (Founder & CEO of KIND) 
26,When: The Scientific Secrets of Perfect Timing ,Daniel Pink 
27,Behavioral Marketing ,Dave Walters 
28,Brand Portfolio Strategy,David A. Aaker
29,Brand Relevance: Making Competitors Irrelevant ,David A. Aaker 
30,Spanning Silos: The New CMO Imperative ,David A. Aaker 
31,"Social Media: Strategies to Mastering Your Brand: Facebook, Instagram, Twitter and Snapchat ",David Kelly 
32,Borrowing Brilliance ,David Kord Murray 
33,The Brain Sell: When Science Meets Shopping ,David Lewis 
34,Longaberger,David Longaberger
35,Ogilvy on Advertising ,David Ogilvy 
36,Brick by Brick: How LEGO Rewrote the Rules of Innovation and Conquered the Global Toy Industry ,David Robertson 
37,The Seven Spiritual Laws of Success ,Deepak Chopra 
38,What Great Brands Do: The Seven Brand-Building Principles that Separate the Best from the Rest ,Denise Lee Yohn 
39,Unconscious Branding ,Do  Duglas Van Praet 
40,Jumpstart your business Brain,Doug Hall
41,Ideation: The Birth and Death of Ideas ,Douglas Graham and Thomas T. Bachmann 
42,The Firm: The Story of McKinsey and Its Secret Influence on American Business ,Duff McDonald 
43,Theory of Constraints ,Eliyahu M. Goldratt 
44,The Anatomy of a Buzz,Emanual Rosen
45,The Branded Mind ,Erik Du Plessis 
46,The McKinsey Way ,Ethan M. Rasiel 
47,McKinsey Mind ,Ethan M. Rasiel and Paul N. Friga 
48,Trust,Francis Fukuyama
49,The Media Effect: What Elephants and Epidemics Can Teach Us About Innovation ,Frans Johansen 
50,The Myth of Excellence,Fred Crawford & Rhyan Matthews
51,Presentation Zen ,Garr Reynolds 
52,Rules for Revolutionaries(Capitalist Manifesto for creating & marketing ew products and services),Gary Kawasaki
53,The Six month Fix: Adventures in Rescuing Failing Companies ,Gary Sutton 
54,"Jab, Jab, Jab, Right Hook ",Gary Vaynerchuk 
55,Metaphorically Speaking,Gerald Zaltman
56,Neuroelectrical Brain Imaging Tools for the Study of the Efficacy of TV Advertising Stimuli and their Application to Neuromarketing ,"Giovanni Vecchiato, Patrizia Cherubino, Arianna Trettel and Fabio Babiloni "
57,Chief Culture Officer ,Grant McCracken 
58,The Top Ten Mistakes Leaders Make,Hans Finzel
59,Value-Based Pricing ,Harry Macdivitt and Mike Wilkinson 
60,"Value-Based Pricing: Drive Sales and Boost Your Bottom Line by Creating, Communicating and Capturing Customer Value ",Harry Macdivitt and Mike Wilkinson 
61,"Marketing Turnarounds: A Guide to Surviving Downturns and Rediscovering Growth"" ",Hooman Estelami 
